Model,Accuracy,Precision(p),Recall(p),F1(p),AUC
Random Forest,0.9899475991872527,0.9922571792610017,0.9893481872373693,0.9908005480524564,0.9960387777628117
Decision Tree,0.9689872740883329,0.9830847762986687,0.9598358252711815,0.9713212025316456,0.9801900290477129
